Humidity1,Temperature1,Humidity2,Temperature2,LDR1,LDR2,PIR_value
40.40, 30.80, 41.10, 30.50, 3198.70, 3026.66, 0
40.40, 30.80, 41.10, 30.50, 3259.51, 3026.66, 0
40.40, 30.80, 41.00, 30.50, 3259.51, 3026.66, 1
40.40, 30.80, 41.10, 30.50, 3198.70, 3026.66, 1
40.40, 30.80, 41.10, 30.50, 3259.51, 3026.66, 1
40.50, 30.80, 41.00, 30.50, 3198.70, 3026.66, 1
40.60, 30.80, 41.10, 30.50, 3198.70, 2972.55, 1
40.60, 30.80, 41.10, 30.50, 3198.70, 3026.66, 1
40.70, 30.80, 41.10, 30.50, 3198.70, 3026.66, 0
40.40, 30.50, 40.30, 30.50, 3259.51, 2819.07, 0
40.40, 30.50, 40.40, 30.50, 3259.51, 2819.07, 0
40.40, 30.50, 40.40, 30.50, 3259.51, 2819.07, 0
40.40, 30.50, 40.40, 30.50, 3259.51, 2819.07, 0
40.40, 30.50, 40.40, 30.50, 3259.51, 2819.07, 0
40.40, 30.50, 40.40, 30.50, 3259.51, 2819.07, 0
40.40, 30.50, 40.40, 30.50, 3259.51, 2819.07, 1
40.40, 30.50, 40.40, 30.50, 3259.51, 2819.07, 1
40.40, 30.50, 40.30, 30.50, 3259.51, 2819.07, 1
40.40, 30.50, 40.30, 30.50, 3259.51, 2819.07, 1
40.40, 30.50, 40.30, 30.50, 3259.51, 2819.07, 1
40.40, 30.50, 40.30, 30.50, 3259.51, 2819.07, 1
40.40, 30.50, 40.20, 30.50, 3259.51, 2819.07, 1
40.40, 30.50, 40.20, 30.50, 3259.51, 2819.07, 0
40.40, 30.50, 40.20, 30.50, 3259.51, 2819.07, 0
40.30, 30.50, 40.20, 30.50, 3259.51, 2819.07, 0
40.30, 30.50, 40.20, 30.50, 3259.51, 2819.07, 0
40.30, 30.50, 40.20, 30.50, 3259.51, 2819.07, 0
40.40, 30.50, 40.30, 30.50, 3259.51, 2819.07, 0
40.30, 30.50, 40.30, 30.50, 3259.51, 2819.07, 0
41.10, 30.50, 41.00, 30.50, 3259.51, 2819.07, 0
41.10, 30.50, 41.00, 30.50, 3259.51, 2819.07, 0
41.10, 30.50, 40.90, 30.50, 3259.51, 2819.07, 0
41.10, 30.50, 40.90, 30.50, 3259.51, 2819.07, 0
41.20, 30.50, 40.70, 30.50, 3139.67, 2770.68, 0
41.30, 30.50, 40.60, 30.50, 3198.70, 2770.68, 0
41.30, 30.50, 40.60, 30.50, 3198.70, 2770.68, 0
41.40, 30.50, 40.50, 30.50, 3198.70, 2770.68, 0
41.40, 30.50, 40.40, 30.50, 3198.70, 2770.68, 0
